,precision,recall,f1-score,support,percentage_support
Bar,0.3087431693989071,0.34822804314329736,0.3272990586531499,649.0,0.14967712177121772
Club,0.770678553739475,0.7441415590626494,0.7571776155717762,2091.0,0.48224169741697415
Outdoor,0.38029556650246304,0.4255788313120176,0.40166493236212275,907.0,0.2091789667896679
Warehouse,0.2962328767123288,0.251088534107402,0.2717989002356638,689.0,0.15890221402214022
micro avg,0.5381609195402299,0.5398985239852399,0.5390283214367949,4336.0,1.0
macro avg,0.43898754158829345,0.44225924190634164,0.4394851267056782,4336.0,1.0
weighted avg,0.5444870165317485,0.5398985239852399,0.5413411022004833,4336.0,1.0
samples avg,0.5598791755508173,0.5610341151385928,0.5264510779436152,4336.0,1.0
