,precision,recall,f1-score,support,percentage_support
Bar,0.6440677966101694,0.24836601307189543,0.3584905660377358,153.0,0.1421933085501859
Club,0.7768987341772152,0.9515503875968992,0.8554006968641116,516.0,0.4795539033457249
Outdoor,0.544,0.29310344827586204,0.38095238095238093,232.0,0.21561338289962825
Warehouse,0.42857142857142855,0.017142857142857144,0.03296703296703297,175.0,0.16263940520446096
micro avg,0.7290400972053463,0.5576208178438662,0.631911532385466,1076.0,1.0
macro avg,0.5983844898397033,0.37754067652187845,0.40695266920531536,1076.0,1.0
weighted avg,0.6511432339375455,0.5576208178438662,0.5486858729886973,1076.0,1.0
samples avg,0.7315340909090909,0.5897253787878788,0.6212594696969697,1076.0,1.0
